trial_id,source_trial_id,experiment_list,dataset_number,dataset_slug,dataset_label,stimulus_set,condition_id,condition_name,cohesion,transitivity,condition_trigger,item_trigger,target_image,target_role
isolated_list1_d003_set3_tr_coh_list1,d003_set3_tr_coh_list1,1,3,003_rest_cook_fish,rest_cook_fish,3,tr_coh,transitive_cohesive,cohesive,transitive,1,11,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/3/tr_target.jpg,tr_target
isolated_list1_d003_set4_it_coh_list1,d003_set4_it_coh_list1,1,3,003_rest_cook_fish,rest_cook_fish,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,12,../psychopy_gurung_v1/JpegStimuliFullRes/3_rest_cook fish/4/it_target.jpg,it_target
isolated_list1_d004_set1_it_coh_list1,d004_set1_it_coh_list1,1,4,004_run_drink_tea,run_drink_tea,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,13,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/1/it_target.jpg,it_target
isolated_list1_d004_set2_tr_coh_list1,d004_set2_tr_coh_list1,1,4,004_run_drink_tea,run_drink_tea,2,tr_coh,transitive_cohesive,cohesive,transitive,1,14,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/2/tr_target.jpg,tr_target
isolated_list1_d004_set3_tr_coh_list1,d004_set3_tr_coh_list1,1,4,004_run_drink_tea,run_drink_tea,3,tr_coh,transitive_cohesive,cohesive,transitive,1,15,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/3/tr_target.jpg,tr_target
isolated_list1_d004_set4_it_coh_list1,d004_set4_it_coh_list1,1,4,004_run_drink_tea,run_drink_tea,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,16,../psychopy_gurung_v1/JpegStimuliFullRes/4_run_drink tea/4/it_target.jpg,it_target
isolated_list1_d005_set1_it_coh_list1,d005_set1_it_coh_list1,1,5,005_rest_build_wall,rest_build_wall,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,17,../psychopy_gurung_v1/JpegStimuliFullRes/5_rest_build wall/1/it_target.jpg,it_target
isolated_list1_d005_set2_tr_coh_list1,d005_set2_tr_coh_list1,1,5,005_rest_build_wall,rest_build_wall,2,tr_coh,transitive_cohesive,cohesive,transitive,1,18,../psychopy_gurung_v1/JpegStimuliFullRes/5_rest_build wall/2/tr_target.jpg,tr_target
isolated_list1_d005_set3_tr_coh_list1,d005_set3_tr_coh_list1,1,5,005_rest_build_wall,rest_build_wall,3,tr_coh,transitive_cohesive,cohesive,transitive,1,19,../psychopy_gurung_v1/JpegStimuliFullRes/5_rest_build wall/3/tr_target.jpg,tr_target
isolated_list1_d005_set4_it_coh_list1,d005_set4_it_coh_list1,1,5,005_rest_build_wall,rest_build_wall,4,it_coh,intransitive_cohesive,cohesive,intransitive,2,20,../psychopy_gurung_v1/JpegStimuliFullRes/5_rest_build wall/4/it_target.jpg,it_target
isolated_list1_d006_set1_it_coh_list1,d006_set1_it_coh_list1,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,1,it_coh,intransitive_cohesive,cohesive,intransitive,2,21,../psychopy_gurung_v1/JpegStimuliFullRes/6_sleep_pluck tomatoes/1/it_target.jpg,it_target
isolated_list1_d006_set2_tr_coh_list1,d006_set2_tr_coh_list1,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,2,tr_coh,transitive_cohesive,cohesive,transitive,1,22,../psychopy_gurung_v1/JpegStimuliFullRes/6_sleep_pluck tomatoes/2/tr_target.jpg,tr_target
isolated_list1_d006_set3_tr_coh_list1,d006_set3_tr_coh_list1,1,6,006_sleep_pluck_tomatoes,sleep_pluck_tomatoes,3,tr_coh,transitive_cohesive,cohesive,transitive,1,23,../psychopy_gurung_v1/JpegStimuliFullRes/6_sleep_pluck tomatoes/3/tr_target.jpg,tr_target
